FID,objectid_1,objectid,facility_n,begin,end,facility_c,status,route_id,bpp_2005,local_plan,jurisdicti,st,note,miles,priority,yr_constr,i269,blvd,divided,fund_sourc,shape_leng,shape_le_1,Shape__Length
437,965,1044,Bellevue Ave,N Parkway,Overton Park,Signed Shared Roadway,Existing,MEM 10; MEM 20,,2003Routes,Memphis,TN,,0.297022111571,Primary,2003,N,,,Local,1568.27674909,1568.27674909,586.571089275235
438,966,1045,Overton Park Ave,Cleveland,Evergreen,Signed Shared Roadway,Existing,MEM 10; MEM 20,,2003Routes,Memphis,TN,,0.66541027037,Primary,2003,N,,,Local,3513.36622756,3513.36622756,1308.26732329378
439,968,1047,Central Ave,Belvedere,Goodwyn,Signed Shared Roadway,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,1.65576090331,Primary,2003,N,,,Local,8742.41756947,8742.41756947,3255.00137256941
440,969,1048,Central Ave,Patterson,Zach Curlin,Bike Lane,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.386690972796,Primary,2015,N,,,Local,2041.72833636,2041.72833636,760.000594915704
441,971,1050,Goodlett St,Goodlett Cv,Southern,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.0550916324689,Primary,2003,N,,,Local,290.883819436,290.883819436,108.75535743387
442,973,1052,Macon Rd,Graham,Graham,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.0474067920235,Primary,2003,N,,,Local,250.307861884,250.307861884,93.2184587583757
443,974,1053,Orchi Rd,Highland,Jackson,Signed Shared Roadway,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.452806623528,Primary,2003,N,,,Local,2390.81897223,2390.81897223,892.082960968916
444,975,1054,Orchi Rd,Jackson,Chelsea,Signed Shared Roadway,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.153320776665,Primary,2003,N,,,Local,809.533700792,809.533700792,302.1221394413
445,976,1055,Jackson Ave,Orchi,Orchi,Signed Shared Roadway,Existing,MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.027920667905,Primary,2003,N,,,Local,147.421126538,147.421126538,55.0639050409119
446,977,1056,James Rd,Highland,Epping Way,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.320812301639,Primary,2003,N,,,Local,1693.88895266,1693.88895266,631.409782411892
447,978,1057,Epping Way Dr,James,Stage-James,Signed Shared Roadway,Existing,MEM 30; MEM 60,,2003Routes,Memphis,TN,,0.354867411622,Primary,2003,N,Y,,Local,1873.69993337,1873.69993337,700.773695361249
448,979,1058,Scenic Hwy,Epping Way,Woodhills,Signed Shared Roadway,Existing,MEM 30; MEM 60,,2003Routes,Memphis,TN,,0.275763672187,Primary,2003,N,,,Local,1456.03218915,1456.03218915,542.678543169969
449,980,1059,Woodhills Dr,Lakewood,James,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003ROUTES,Memphis,TN,,0.641480398754,Primary,2003,N,Y,,Local,3387.01650542,3387.01650542,1265.81206296495
450,981,1060,Raleigh-Millington Rd,Frayser,Homewood,Signed Shared Roadway,Existing,MEM 30; MEM 40; MEM 60,,2003Routes,Memphis,TN,,0.199989941458,Primary,2003,N,,,Local,1055.9468909,1055.9468909,395.096854466938
451,982,1061,Homewood Dr,Raleigh-Millington,Lakewood,Signed Shared Roadway,Existing,MEM 30; MEM 60,,2003Routes,Memphis,TN,,0.0774036750702,Primary,2003,N,,,Local,408.691404371,408.691404371,152.796565546208
452,983,1062,Cherry Rd,Southern,Park,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.590189007399,Primary,2003,N,Y,,Local,3116.19795907,3116.19795907,1164.78854970649
453,984,1063,Park Ave,Cherry,Cherry,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.165156258993,Primary,2003,N,,,Local,872.025047481,872.025047481,324.53317256653
454,985,1064,Cherry Rd,Park,Willow,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,1.47561032961,Primary,2003,N,,,Local,7791.22254036,7791.22254036,2912.12437128141
455,988,1067,Quince Rd,White Station,Messick,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,2.47410865944,Primary,2003,N,,,Local,13063.2937218,13063.2937218,4863.915850018
456,989,1068,Messick Rd,Quince,Kirby Pkwy,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.675180573869,Primary,2003,N,,,Local,3564.95343003,3564.95343003,1326.40229220745
457,990,1070,Humphreys Blvd,Shady Grove,Kirby,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.628443002928,Primary,2003,N,,Y,Local,3318.17905546,3318.17905546,1236.5906707831
458,991,1071,Tuckahoe Rd,Goodlett,Grove Park,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.991527906789,Primary,2003,N,,,Local,5235.26734784,5235.26734784,1950.37877717375
459,992,1072,Perkins Rd,Shady Grove,Shady Grove,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.0178622973585,Primary,2003,N,,,Local,94.312930053,94.312930053,35.2653178276129
460,993,1073,Shady Grove Rd,Grove Park,Perkins,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.340689618048,Primary,2003,N,,,Local,1798.84118329,1798.84118329,670.150491171603
461,994,1074,Grove Park Rd,Tuckahoe,Shady Grove,Signed Shared Roadway,Existing,MEM 50; MEM 60,,2003Routes,Memphis,TN,,0.0413773908124,Primary,2003,N,,,Local,218.47262349,218.47262349,81.5643034744129
462,996,1076,Front St,Union,Beale,Marked Shared Roadway,Existing,,,ARRA,Memphis,TN,,0.213953657275,Secondary,2011,N,,,ARRA,1129.67531041,1129.67531041,422.273477277231
